,title,label
0,제목,2
1,프랑스 월드컵 열기 후끈,2
2,지역안배 평가점수 의혹,0
3,21세기를 뛰어라,2
4, 섬문화축제  행사장 기공,2
5, 도의원 완주군,2
6,조원건설  대전서 상가 조원프라자 분양,2
7,본보 국회 국제경기지워특위 속기록 긴급 입수,2
8,충남 보령시 무창포 바다가 열린다 새해가 열린다,2
9,IMF 삭풍   그래도 희망은 있다,2
10,IMF 극복  달러파크  만든다,2
11,산업전반 체질개선 계기로 삼자,2
12,새해 새 정권 새 남북관계 전개될까,2
13,우주여행 대중화 언제쯤 10개사 열띤 경쟁 2020년 실현 가능,2
14,일출 보며 새해 새출발,2
15,에버랜드 한국호랑이 한쌍 자연품으로 돌아간다,2
16, 프랑스월드컵 효과  37억명 시청   TV중계료만 1 300억원,2
17,넉달후 대접전 벌써 물밑경쟁,2
18,4개 市  郡 자치단체장 새해설계,2
19,제천비행장 활용방안  시급 ,2
20,경남 시장군수 누가 뛰나 1 ,2
21,2002 全州월드컵 성공개최,2
22,월드컵 보려 통장까지 만든 도민인데   ,2
23,미리 가 본 98프랑스 월드컵,2
24,21C 자랑스럽고 잘 사는 全北의 기틀 다진다,0
25, 각계 신년사 지역경쟁력 확보 변화 기틀 구축,2
26,2002 全州월드컵,2
27,회두리,2
28, 생활문화를 수출한다 上 전통먹거리 김치수출,2
29,경향건설 화의신청,2
30,97 업무추진 유공자 국무총리 표창,2
31, 동정 ,2
32,1차산업에 2백24억원 투입,2
33,포르투칼 해양 엑스포,2
34,서귀포시,2
35,일가 등 22명 함께  달러여행  입국 대만동포 김일제씨,2
36,경남청사진 2 ,2
37,中一대만 간접항로 또 개통 매주 월  금 한차례 왕복 운항,2
38,우리 고장 어떤 인물,2
39,IMF한파 물리칠 새옷 입기,2
40,서비스 질적 개선 경쟁력 강화 시급,2
41,제주대 벤처동아리  발명과 창업 ,2
42,사랑 실은 교통봉사대 제주지대,1
43,사진 100년  도약을 준비하는 전북 사진계,1
44,다시 시작하자­남북 경협 어떻게 될까,2
45,신년설계,2
46,IMF체제 인상 러시  서민 가계 주름살 올해부터 달라지는 것들,2
47,무너진 경제 해외시장서 활로 뚫자,2
48,守城 설욕 96보궐선거 재판 예상 오산시장 ,2
49,나가노는 어떤곳 스키장 온천 많은  일본의 지붕 ,2
50, 생활문화를 수출한다 上 전통먹거리 외국의 경우,2
51,문화,2
52,남태평양 섬 키리바시國 새해日出 가장 먼저 본다,2
53,한국의 정 듬뿍 담긴 선물을 배낭여행수첩 ,2
54,볼만한 케이블TV 영화,2
55, IMF위기  극복할 수 있어요 ,2
56,동해안 해돋이 관광객 몰려,2
57,문화예술단체 새해설계,2
58,濟州국회의원 새해 인사,2
59,강원도 탈락 국민 납득하겠나,2
60,강원도 정보 최첨단 道 된다,2
61,케이블 영화,2
62,수몰 아픔 딛고 우뚝 선 문의면,2
63, 98전일신춘문예 단편소설 당선작 흔적,2
64,외식 외유 외제 외상  4외 를 줄여라,2
65,감원 대신 근로시간 단축하면 임금 지원 새해부터 달라지는 것들,2
66,주민을 위한 주민에 의한 주민의 행정 뿌리내려,2
67,道勢키울 대역사  IMF 변수,2
68,5월7일 선거 지키느냐 뺏느냐,2
69,仁川 무의도에 골프장 건립,2
70, 칼럼  봄 새싹같은 미래를 펼치자,2
71, 98 본사 주제 다시 시작하자,2
72,記者의 눈,2
73,우주여행 신기술개발 어디까지 영화­상상속 가설 현실화 착착 진행,2
74,21세기 全北도약  本社주창 1O대 전략사업,1
75,개발잠재력 높은 새만금,2
76,無孔針,2
77,IMF 스트레스 한방에 날릴 가슴 설레는 인기 비디오,1
78,지구촌에서 보는 한국,2
79, 생활문화를 수출한다 上 전통먹거리 외국인 입맛 맞춰  현대적 요리 개발,2
80,가계부마다  빨간눈물   수입보다 지출이 더 많다  40%,0
81,행복만들기 겨자씨 ,2
82,외국증권사 국내 설립 허용 새해부터 달라지는 것들,2
83,페루 리마 수해 등,2
