,title,label
0,제목,2
1,갈루치 전 미 핵대사가 본 「새해 한반도 기류」,2
2,집권 마무리­정권 재창출  큰짐  「문민 1기」 결산,2
3,정부서 직접 주택정보 제공한다,2
4,「제야의 종」타종식,2
5,野鼓賦,2
6,선거 잘 치러야 경제 안정,2
7,서울은 없다  광주 전남이 곧 중앙,2
8,統一은 완성품 아닌 하나의 과정,2
9,정부서도 집값 매물정보 제공,2
10,개헌론에 대한 입장 1997 한국 가야할길 ,2
11,상 하수도料 자동납부제 실시,2
12,선호 직업 사업가 첨단직종,2
13,지역패권 싸고 숨막히는 외교전 미국 중국 일본 동북아 신삼국지 ,2
14,「21세기 잘 사는 全北」비전 구체화,2
15,여유 餘裕 는 남의 집 개이름인가 ,2
16,21C 가교  위기를 극복하자 선택 97 ,2
17,민간 기업까지 적지공략 총공세 미국 중국 일본 동북아 신삼국지 ,2
18,「환경투자」 없이 미래없다 환경파괴 나의 파괴,2
19, 좌담 本社 우리 더 잘할수 있다캠페인,2
20,장정일씨 내주 소환 영장 청구키로 소설 음란시비 관련,2
21,왜「中東歐」인가,2
22,鄧小平 입원치료 홍콩紙 보도,2
23, 오늘 을 만든  뜨거운 함성  6월 항쟁 10돌,2
24,서울시 고위공무원 인사 특징,2
25,정당간 정책대결에 초점 선관위 97대선관리 방향,2
26,丁丑年 「새롭게 새롭게」 오버,2
27,새 노동법 정착 위한 각계 의견  97 전망­노사관계 ,2
28, 21세기 새국제질서 형성기 경제회생 국가위상 높여야  국제,2
29, 해외토픽 태국 새해선물 복권 인기 회사등 사원 선물로 대량 구입,1
30,경쟁력 7가지 비결 미국에서 배운다,2
31,신한국 후보 결정  97대선 이것이 변수 1 ,2
32,홍콩수용소 탈북자 최소3명,2
33,97 대권레이스­예비주자 전략,2
34,신년사 짓밟힌 민주주의 되살리자,2
35,새 리더십 선택 1 1997 한국 가야할길 ,2
36,97 대선 예비주자 11인 신상 명세서 Ⅰ ,1
37, 통일시대  統一 기류 급변   北韓의 선택은,2
38,TK정서 어디로,2
39,조국에 띄우는 편지（1）獨베를린 자유대학 김인호씨,2
40, 거듭나는美기업들 1 기업도 상품 原價부터 파괴,2
41,홍콩 150년 영국지배 마감 7월1일 중국 품으로,2
42,나이 들수록 또렷이 보이는 사람살이 박완서 더불어 생각하며 ,2
43,21세기를 대비한다­선진국들의 구상,2
44,미 대선 TV토론 역사 60년 케네디­닉슨 첫 대결 승패좌우,2
45,KETI  올해 이동통신 핵심부품등 개발에 337억 투입,2
46,새 노동법­노사정 역할 김재원 한양대 교수 경제학 기고 ,2
47, 북 식량위기 군 관 확산  미 언론보도,2
48,결국은 정치세력화다 성한표 칼럼 ,2
49,올 대선도  지역구도 가 좌우 1997 한국 가야할길 ,2
50,신년사 나라 다시 세우기,2
51,메콩강변엔 이미 자본주의 바람,2
52,인질극 현장공개;,2
53,2야 장외 압박작전  고삐 ,2
54, 새 리더십 핵심은 경제해결능력  52%,2
55,인 터 뷰,2
56,노동계 3일부터 총파업 재개,2
57,시정홍보용 전광판 시장 대형 수요처로 급부상,1
58,「OECD가입 원년」 경제를 살리자­해외전문가 「한국진단」,2
59,레이니 미 대사 사직,2
60,장정일씨 어제 귀국 내주 소환 영장 방침,2
61,정해주 중소기업청장 새해 구상 ,2
62, TV프로 2 3일 다큐멘터리,2
63,야권후보 DJP성사가능성 부정적­64% 1997 한국 가야할길 ,2
64,쉰세대낀 세대 신세대 세대 탐구 총론,2
65,本社 종무식,2
66,특집프로그램 1 2일,2
67,96년 한국인 88년 일본인 의식조사 비교,2
68,「문화유산의 해」에 동참을 사설 ,2
69,동아시아 경제성장 한계론  봇물 ,2
70,음란성 소설 논란 장정일씨 곧 소환,0
71,인생의 가장 기뻤던 10년 마리즈 부르뎅 한국에 살면서 ,2
72,유럽 한파 220명 사망,2
73,박찬종고문 1위 독식   언론사 여론조사,1
74,이홍구 진영 경기고­서울법대 인맥 막강 대권을 만드는 사람들 ,2
75,미래기술에 승부건 두 연구원 1997 한국 가야할 길 ,2
76, 野圈 후보단일화로 기필 政權 교체 ,2
77,21세기 안목 경영道政 삶의 질 향상,2
78,한국 해외 M&A 시장  큰손  부상,1
