,title,label
0,제목,2
1,문체부 차관보 신현웅씨 내정,2
2,예천 새군민상 시상식,2
3,새해 이렇게 달라진다,0
4, 오늘 을 만든  뜨거운 함성  6월 항쟁 10돌,2
5, 96 97농구대잔치 김지윤 정선민 6강 합작,2
6,한복맵시로 지구촌 패션가 주름잡아,2
7, 어디로 빠지나 ,2
8,국제  스포츠도시 로 웅비,2
9, 21세기 초우량 자동차그룹 기필코 달성 ,2
10,선경 삼성 PO 안착,2
11,선경  플레이오프 안착,2
12,세계知性 젊음 「겨울」을 녹인다,2
13,패기로 코트 돌풍,1
14, 겨울스포츠 새 名所 全北 世界속에 심을 채비  끝 ,2
15,여성유망직종 10가지 인문분야보다 이공계 첨단직종 더 적합,2
16,뼈마디와 피를 섞어 춤추지요 「승무」인간문화재된 李愛珠교수,2
17,박지은 8언더파 우승 美 오렌지보울J골프,2
18, 인터뷰 김운용 대한체육회장,2
19,홍콩 150년 영국지배 마감 7월1일 중국 품으로,2
20,동계U대회 뒷바라지 人士 듣는다,2
21,한일합섬 무패우승  성큼 ,2
22,LG 선경 4연승 해맞이,2
23,어림없네요,2
24,2002년 월드컵조직위 출범,2
25,총파업 확대비상,0
26,경기大 녹슬지 않는 저력,2
27,땅과 사람 전북의 문화유산 읽기,2
28,全北大 경쟁률 3 49對1,2
29, 인사 노동부 보건복지부 문화체육부 해양수산부 철도청,2
30,문체부 1급 내정 차관보 辛鉉雄씨 청소년 정책실장 李漢洪씨,2
31,LG남매 나란히 웃었다,1
32,진보적 사회운동 에너지원 6월 항쟁 10돌,2
33,문화체육부 청소년정책실장 이한홍씨,2
34,청소년개발원장 김사흥씨,2
35, 97 문화유산의 해 한병삼 집행위원장OI 듣는다,2
36,청주농고 공동실습소 성과,2
37,97년 충북체육「허와 실」,2
38,두터운 수비,2
39,이동찬 경총회장 월드컵 위원장에,2
40,시도지사 연휴 일정,2
41,  97무주 전주 동계 U대회 지구촌 대학생 눈과 얼음 대축제,2
42,「지역성 세계성」 미래 달렸다,2
43,地方文化 선도 지역사회 발전 밑거름,2
44, 97배구슈퍼리그 한일합섬 무패우승 턱밑,2
45, 平和市 이렇게 건설돼야 한다  統一 완충지대로 겨례 대화합 이룰,2
46,위기가 바로 체질개선  적기  한국경제 활로를 뚫자 1 ,2
47,무형문화재 4人 인정,2
48,한국 개최도시 내년초 선정 2002韓日월드컵축구 준비상황,0
