,title,label
0,제목,2
1,21세기­멀지만 가야할  인간적인 세상 ,2
2,15대 국회의원선거 입후보자 예상명단 Ⅶ,2
3,15대 국회의원선거 입후보자 예상명단 Ⅲ,2
4,국민은 지속적 개혁을 원한다 한국인의 정치사회의식 ,2
5, 사설 역사의 새 장을 여는 강원도,2
6, 신년특집  안방에 밀려드는 정보가전  2  주요상품,2
7,매달 4일 「안전점검의 날」 96년도 안전문화 추진내용,2
8,1920년대 싹터 한국문학의 원류로 부산문학의 맥 巨木 4인 최영철,2
9, 재빠른 꾀돌이  정보체 재물등 상징 한몸에 陰陽 모두 겸비 12支중 첫자리,2
10,2001년 U대회  우리 고장에서  ,2
11,마땅한 작품없어 선정 유보,2
12,병자 새해아침 각계인사들의 한국병 진단 김태길 서울대 명예교수,2
13,병자 새해아침 각계인사들의 한국병 진단,2
14,병자년 쥐띠해에 얽힌 이야기,2
15,도내 5개 통합시,2
16,부산 경남 시민 여론조사 本社 정음리서치 民選단체장 활동 낮은 평점,2
17,全北道民日報 특별기획 15대 總選 도민 의식조사,2
18,D­201일 올림피아드 본격 카운트다운,2
19,관계부처 장관 단체장 신년메시지,2
20,전북을 이끌어온 도백들  역대 도지사 프로필,2
21,세계 석학들이 전망한 1996년 지상좌담 Ⅰ,2
22,한통  기업문화진흥회 문화재단 으로 새출범,2
23,새로운 반세기를 맞이하며 이세중변호사 신년 특별기고,1
24, 96문학의 해 한국문학 노벨문학상 우리는 왜 못타나,2
25,1천만년 전 지금의 모습 완성,2
26,96올림픽 D­200일 올림픽 100년 축제  설레는 애틀랜타,2
27,쥐의 해 근면 재물 다산의 상징,2
28, 수도권서 결판낸다  총력전 4당 「4 11필승」전략,2
29, 신년특집  영상SW를 살리자 영화 비디오,2
30,총선 5대1 경쟁 예상 선거전문가 분석,2
31,「서울바람」에 「사회主義」 퇴색,2
32,새 아침에 듣는다 갈등의 迷路서 정의의 들판으로 신춘 대담,2
33,한국문학 세계화 가능하다,2
34,노년층  地域차별 해소 기대,2
35,97년 동계U대회 高炳佑 위원장에게 듣는다,2
36,약진하는 중국 21C 아태 시대가 열린다 ,2
37,4당 정책위의장에 듣는다 정치와 경제 ,2
38,밝은 아침 밝은 신문 창간 반세기  경향신문이 새롭게 웅비합니다,2
39,바른 선택 바른 정치 바른 국가  우리의 과제,2
40,재계 새출발 경영 새바람 「비자금」파문딛고 정도 투명경영 나선다,0
41,풍요 상징 미래 예측해 주는靈物,2
42,경기장 시설 평균 공정 61 8% 滿點대회  이상없다 ,2
43,보배장학문화재단 奬學金 전 달식,2
44,오목대,2
45,文化 경쟁시대가 다가온다,2
46,사물놀이 金德洙 씨 등 훈장 표창,2
47,근로자임금 평균 10% 인상,2
48,청주시 교육위원 보궐선거,2
49, 개방元年을 전화위복 기회로 건설 건축단체장 新年辭 ,2
50,금호 창립50돌 신규사업 진출,1
51,OECD가입 先進國대열 진입  腐敗 不實 오명 이젠 떨쳐내자,2
52,政治 物價안정 환경개선욕구 커져 각국「萬달러이후」,2
53,교통캠페인 「車문화」를 가꾸자생명을 지키자,2
54,칭기즈칸 영광大몽골展,2
55,근면 다산 풍요의 상징 12간지 첫째「꾀많은 영물」,2
56,해외동포 인터네트 근하신년 미국,2
57, 대담 유종호 교수 김병익 문학과지성 대표 96문학의 해,2
